state,score,secs,epochs,dataset,model,fold
no_text,0.29565601848272804,1.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,0
text_only,0.21758796137100078,13.5,,REG_TEXT_EDU_UDEMY_ACADEMY,light,0
all,0.5204599579417537,9.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,0
ft,0.5035986421581642,63.0,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,light,0
no_text,0.33122499622809476,3.0,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,0
text_only,0.200219789486347,23.1,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,0
all,0.5112958847669434,27.5,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,0
ft,0.5142332835150472,30.6,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,cat,0
no_text,0.34155163896580965,5.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,0
text_only,0.20893319283463085,25.8,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,0
all,0.5427254453375079,15.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,0
ft,0.5206147225786575,22.0,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,0
no_text,0.2995528384738657,1.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,1
text_only,0.3039865347517503,9.5,,REG_TEXT_EDU_UDEMY_ACADEMY,light,1
all,0.547133417771107,9.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,1
ft,0.5466059757277018,69.3,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,light,1
no_text,0.322588654277549,3.0,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,1
text_only,0.3154180377786213,22.5,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,1
all,0.5478637770816397,28.9,,REG_TEXT_EDU_UDEMY_ACADEMY,cat,1
ft,0.5902089499018147,32.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,cat,1
no_text,0.31308360785258904,4.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,1
text_only,0.32423012853840205,15.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,1
all,0.5846809923612866,22.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,1
ft,0.5699119308265185,35.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabm,1
no_text,0.239643319463407,1.0,,REG_TEXT_EDU_UDEMY_ACADEMY,light,2
text_only,0.19465630256069566,8.5,,REG_TEXT_EDU_UDEMY_ACADEMY,light,2
