state,score,secs,epochs,dataset,model,fold
no_text,0.3281282527227968,5.1,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,0
text_only,0.12291415799849292,24.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,0
all,0.4599333754383529,21.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,0
ft,0.44821972750950134,82.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,0
no_text,0.32954085424596835,5.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,0
text_only,0.18796923189177794,16.1,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,0
all,0.4596394876916292,17.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,0
ft,0.48043686247173667,20.7,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,0
no_text,0.30068186069226277,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,1
text_only,0.2789867901363301,20.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,1
all,0.45043534538774077,22.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,1
ft,0.46818945775819676,84.4,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,1
no_text,0.3277318028322752,2.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,1
text_only,0.2803973009794165,17.1,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,1
all,0.5141226434228467,17.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,1
ft,0.5139208780028909,20.7,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,1
no_text,0.320721767200854,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,2
text_only,0.11261847345157183,20.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,2
all,0.41880343470337356,21.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,2
ft,0.42555618455299427,84.4,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,2
no_text,0.33423969035807044,2.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,2
text_only,0.16671942903538128,16.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,2
all,0.42056898369202045,17.9,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,2
ft,0.4338885417654782,20.1,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,2
no_text,0.27029823788015994,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,3
text_only,0.1655968167799058,20.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,3
all,0.4131960102309221,22.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,3
ft,0.4187445817790686,83.8,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,3
no_text,0.2838461960879841,2.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,3
text_only,0.23517709814724885,17.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,3
all,0.4271407010408944,17.7,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,3
ft,0.436528292480032,20.6,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,3
no_text,0.2742311781292206,2.5,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,4
text_only,0.13217807960632122,20.9,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,4
all,0.4325777210697982,22.6,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,4
ft,0.4226146164152371,84.3,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2,4
no_text,0.28075463988939053,2.0,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,4
text_only,0.18248578032991913,17.1,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,4
all,0.43613656411118806,17.8,,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,4
ft,0.4554433187773975,20.7,10.0,REG_TEXT_EDU_UDEMY_ACADEMY,tabpfnv2p5,4
