model,dataset,fold,multimodal_state,test_score,runtime,n_train,n_test,m_features,task_type,tune_e5
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,0,no_text,0.38275207329250605,5.55333948135376,10000,2000,10,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,0,no_text,0.37557770508050325,140.94579792022705,10000,2000,10,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,0,no_text,0.34757889553088883,301.3361132144928,10000,2000,10,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,0,no_text,0.38127142993631746,635.3674199581146,10000,2000,10,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,0,no_text,0.39239851512055024,336.85041069984436,10000,2000,10,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,1,no_text,0.3299946772366923,1.0138559341430664,10000,2000,10,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,1,no_text,0.3263466448399136,112.13824415206909,10000,2000,10,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,1,no_text,0.29890421314441273,328.06202268600464,10000,2000,10,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,1,no_text,0.32944853164300847,496.34481024742126,10000,2000,10,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,1,no_text,0.33985409375649145,254.33128261566162,10000,2000,10,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,2,no_text,0.335895785386494,1.0163397789001465,10000,2000,10,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,2,no_text,0.3361650233736583,50.558598279953,10000,2000,10,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,2,no_text,0.3036732122323649,207.22195053100586,10000,2000,10,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,2,no_text,0.3318892874319471,438.06122040748596,10000,2000,10,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,2,no_text,0.349414835699967,249.33585381507874,10000,2000,10,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,3,no_text,0.3352548589781057,1.0151655673980713,10000,2000,10,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,3,no_text,0.33695469553867563,77.57550311088562,10000,2000,10,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,3,no_text,0.31232895862231314,176.69845008850098,10000,2000,10,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,3,no_text,0.3419094906728901,454.61618542671204,10000,2000,10,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,3,no_text,0.3542259049152813,259.39552998542786,10000,2000,10,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,4,no_text,0.3269709662287724,1.0212912559509277,10000,2000,10,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,4,no_text,0.3318990225215136,70.58395218849182,10000,2000,10,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,4,no_text,0.3034919362149069,247.89405274391174,10000,2000,10,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,4,no_text,0.3235659820864213,457.6279606819153,10000,2000,10,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,4,no_text,0.3463505335343421,259.382581949234,10000,2000,10,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,0,text_only,0.3320921799738743,5.220382452011108,10000,2000,1,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,0,text_only,0.3475987103286202,11.59009313583374,10000,2000,1,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,0,text_only,0.3495771863610586,399.05933117866516,10000,2000,1,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,0,text_only,0.3477408878251481,943.7890274524689,10000,2000,1,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,0,text_only,0.3641002905727547,667.3548753261566,10000,2000,1,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,1,text_only,0.29490644613875117,19.584253072738647,10000,2000,1,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,1,text_only,0.3042924714494408,8.014897108078003,10000,2000,1,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,1,text_only,0.3262918958446256,288.8214044570923,10000,2000,1,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,1,text_only,0.3273292804785477,920.304078578949,10000,2000,1,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,1,text_only,0.3355346392423513,667.06787276268,10000,2000,1,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,2,text_only,0.2942740599585021,12.020758867263794,10000,2000,1,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,2,text_only,0.30845142006599946,9.06172490119934,10000,2000,1,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,2,text_only,0.329884030833717,342.47068762779236,10000,2000,1,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,2,text_only,0.3247160525956805,921.6160380840302,10000,2000,1,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,2,text_only,0.3327924597316775,665.8512942790985,10000,2000,1,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,3,text_only,0.34731501278388877,8.519142627716064,10000,2000,1,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,3,text_only,0.36334640516169536,8.026272296905518,10000,2000,1,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,3,text_only,0.37862329689664265,272.78472447395325,10000,2000,1,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,3,text_only,0.3859101194931176,913.1576554775238,10000,2000,1,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,3,text_only,0.3945624915627649,666.340117931366,10000,2000,1,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,4,text_only,0.28989170773927586,6.517612457275391,10000,2000,1,REG,False
CatBoost 😸,REG_TEXT_HOUSES_VIETNAM_2024,4,text_only,0.30026123078192146,7.116485357284546,10000,2000,1,REG,False
TabM Ⓜ️,REG_TEXT_HOUSES_VIETNAM_2024,4,text_only,0.284791346723712,464.95911026000977,10000,2000,1,REG,False
TabPFN-v2 🤯,REG_TEXT_HOUSES_VIETNAM_2024,4,text_only,0.3138252697059021,916.6106603145599,10000,2000,1,REG,False
TabPFN-v2p5 🇩🇪,REG_TEXT_HOUSES_VIETNAM_2024,4,text_only,0.3029378549307379,664.8052439689636,10000,2000,1,REG,False
LightGBM 💡,REG_TEXT_HOUSES_VIETNAM_2024,0,all,0.6188883273782935,2.5259718894958496,10000,2000,11,REG,False
