state,score,secs,epochs,dataset,model,fold
no_text,0.38275207329250605,1.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,0
text_only,0.32991949489641315,26.5,,REG_TEXT_HOUSES_VIETNAM_2024,light,0
no_text,0.37557770508050325,10.5,,REG_TEXT_HOUSES_VIETNAM_2024,cat,0
text_only,0.3447947185489978,30.2,,REG_TEXT_HOUSES_VIETNAM_2024,cat,0
no_text,0.3456043287891297,14.0,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,0
text_only,0.35039152145676067,45.4,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,0
no_text,0.3803543992646192,26.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,0
text_only,0.34769822925031535,73.7,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,0
no_text,0.3299946772366923,1.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,1
text_only,0.3011469198441381,24.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,1
no_text,0.3263466448399136,10.5,,REG_TEXT_HOUSES_VIETNAM_2024,cat,1
text_only,0.3023584776035002,31.6,,REG_TEXT_HOUSES_VIETNAM_2024,cat,1
no_text,0.2966063389140082,18.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,1
text_only,0.326838285932077,41.8,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,1
no_text,0.32940711068965767,24.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,1
text_only,0.3277282252586029,74.3,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,1
no_text,0.335895785386494,1.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,2
text_only,0.2883829490156107,23.6,,REG_TEXT_HOUSES_VIETNAM_2024,light,2
no_text,0.3361650233736583,6.0,,REG_TEXT_HOUSES_VIETNAM_2024,cat,2
text_only,0.30968726378607325,33.4,,REG_TEXT_HOUSES_VIETNAM_2024,cat,2
no_text,0.3032288221114885,15.0,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,2
text_only,0.3265772546847945,48.8,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,2
no_text,0.33233909494650893,24.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,2
text_only,0.32559228585681044,73.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,2
no_text,0.3352548589781057,1.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,3
text_only,0.337697041404343,24.6,,REG_TEXT_HOUSES_VIETNAM_2024,light,3
no_text,0.33695469553867563,8.0,,REG_TEXT_HOUSES_VIETNAM_2024,cat,3
text_only,0.35851968332874384,32.6,,REG_TEXT_HOUSES_VIETNAM_2024,cat,3
no_text,0.3123711384340151,14.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,3
text_only,0.3881009095282315,47.4,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,3
no_text,0.34180614330692904,24.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,3
text_only,0.3857823335773327,73.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,3
no_text,0.3269709662287724,1.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,4
text_only,0.29312876250086295,24.1,,REG_TEXT_HOUSES_VIETNAM_2024,light,4
no_text,0.3318990225215136,7.5,,REG_TEXT_HOUSES_VIETNAM_2024,cat,4
text_only,0.29667930220537864,30.1,,REG_TEXT_HOUSES_VIETNAM_2024,cat,4
no_text,0.3005539465213386,11.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,4
text_only,0.29021421966028915,48.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,4
no_text,0.32360235840105056,24.0,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,4
text_only,0.313103607303557,73.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,4
