state,score,secs,epochs,dataset,model,fold
all,0.6251228440663799,27.6,,REG_TEXT_HOUSES_VIETNAM_2024,light,0
ft,0.6455527208793258,152.7,10.0,REG_TEXT_HOUSES_VIETNAM_2024,light,0
all,0.6603102983601535,49.8,,REG_TEXT_HOUSES_VIETNAM_2024,cat,0
ft,0.6698599052622474,54.4,10.0,REG_TEXT_HOUSES_VIETNAM_2024,cat,0
all,0.6492780049197101,73.2,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,0
ft,0.6604302789399057,77.4,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabm,0
all,0.6678501801365064,95.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,0
ft,0.6741999901538802,241.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,0
all,0.5710581838876694,26.0,,REG_TEXT_HOUSES_VIETNAM_2024,light,1
ft,0.5898838698143616,160.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,light,1
all,0.609468515510075,50.0,,REG_TEXT_HOUSES_VIETNAM_2024,cat,1
ft,0.6204731617282053,53.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,cat,1
all,0.6226072959554081,81.0,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,1
ft,0.6204436492221124,69.9,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabm,1
all,0.6292487958395003,93.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,1
ft,0.6310477319843781,241.8,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,1
all,0.5859670762611681,25.7,,REG_TEXT_HOUSES_VIETNAM_2024,light,2
ft,0.5980084029158257,160.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,light,2
all,0.6228627292888391,49.5,,REG_TEXT_HOUSES_VIETNAM_2024,cat,2
ft,0.6284762944779596,53.8,10.0,REG_TEXT_HOUSES_VIETNAM_2024,cat,2
all,0.618691044608346,77.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,2
ft,0.6242678242023864,73.1,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabm,2
all,0.6362834899620661,92.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,2
ft,0.6398699895705937,240.9,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,2
all,0.6037688499468974,25.9,,REG_TEXT_HOUSES_VIETNAM_2024,light,3
ft,0.6193691550479414,160.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,light,3
all,0.6509145982612001,48.5,,REG_TEXT_HOUSES_VIETNAM_2024,cat,3
ft,0.657598317742546,101.8,10.0,REG_TEXT_HOUSES_VIETNAM_2024,cat,3
all,0.6601659720115791,84.2,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,3
ft,0.6644930163541719,80.2,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabm,3
all,0.6666216044408986,92.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,3
ft,0.6684933250464639,251.6,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,3
all,0.5725800634583147,25.1,,REG_TEXT_HOUSES_VIETNAM_2024,light,4
ft,0.583560711863433,159.5,10.0,REG_TEXT_HOUSES_VIETNAM_2024,light,4
all,0.614160703747974,46.4,,REG_TEXT_HOUSES_VIETNAM_2024,cat,4
ft,0.6059211423978916,51.1,10.0,REG_TEXT_HOUSES_VIETNAM_2024,cat,4
all,0.6142679232240837,76.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabm,4
ft,0.6194748988112331,66.9,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabm,4
all,0.6277729685707094,92.7,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,4
ft,0.6213336892297032,240.9,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2,4
