state,score,secs,epochs,dataset,model,fold
no_text,0.39235734606939476,15.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,0
text_only,0.3644328697710063,53.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,0
all,0.7026706711689259,60.6,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,0
ft,0.7092875943315612,210.0,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,0
no_text,0.33991984352090976,12.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,1
text_only,0.33604617004799753,53.9,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,1
all,0.6691612199709658,62.3,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,1
ft,0.6715135769204164,209.3,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,1
no_text,0.3494426592598071,12.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,2
text_only,0.33221652123925094,54.0,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,2
all,0.6661274431998461,62.4,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,2
ft,0.6732391628981527,210.0,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,2
no_text,0.3542315303600282,12.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,3
text_only,0.39432704283630715,54.8,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,3
all,0.704178500288283,62.9,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,3
ft,0.7143355467670435,210.0,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,3
no_text,0.3463520711192608,12.5,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,4
text_only,0.3032583846904745,54.1,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,4
all,0.6560310805869203,62.4,,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,4
ft,0.6573528606046896,210.0,10.0,REG_TEXT_HOUSES_VIETNAM_2024,tabpfnv2p5,4
