state,score,secs,epochs,dataset,model,fold
no_text,0.5203157111927742,1.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,0
text_only,0.25604232550928885,73.2,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,0
all,0.5886071503060557,72.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,0
ft,0.5932536957949781,772.3,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,light,0
no_text,0.5310213166773394,8.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,0
text_only,0.28119206770127225,89.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,0
all,0.6005324863848087,85.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,0
ft,0.6042208316677377,105.4,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,0
no_text,0.5129405000447609,13.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,0
text_only,0.2941268025960021,88.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,0
all,0.5949231169949419,88.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,0
ft,0.596726728254705,99.2,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,0
no_text,0.5260331476700906,1.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,1
text_only,0.2829156787760747,86.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,1
all,0.5795491649372473,85.7,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,1
ft,0.5704333056759849,1014.2,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,light,1
no_text,0.5307972148626906,8.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,1
text_only,0.3032230982828016,102.7,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,1
all,0.5947766678082176,113.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,1
ft,0.5825696395328885,113.3,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,1
no_text,0.5109343230992185,13.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,1
text_only,0.33284052693506105,102.8,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,1
all,0.579633244983922,103.2,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,1
ft,0.5803095843958399,113.8,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabm,1
no_text,0.5227449514894593,1.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,2
text_only,0.2903942918485516,87.3,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,2
all,0.5765751555778201,88.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,light,2
ft,0.5771461604390526,1016.5,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,light,2
no_text,0.5246255645721685,7.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,cat,2
