state,score,secs,epochs,dataset,model,fold
no_text,0.5324355084520931,24.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,0
text_only,0.27402448670617696,165.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,0
all,0.5922629396627537,173.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,0
ft,0.5996436837591403,976.4,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,0
no_text,0.5354567697644801,12.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,0
text_only,0.30959947409799327,129.8,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,0
all,0.6073998134996704,134.3,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,0
ft,0.6110920498529764,145.6,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,0
no_text,0.5194367589891946,22.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,1
text_only,0.270550021775244,180.9,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,1
all,0.5718141613928636,200.7,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,1
ft,0.5754291670221572,1260.8,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,1
no_text,0.5246521093970097,9.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,1
text_only,0.32967486533603985,146.2,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,1
all,0.5961537848683227,150.8,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,1
ft,0.5936234792151508,161.8,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,1
no_text,0.5146778793481617,23.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,2
text_only,0.282188753069481,183.9,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,2
all,0.5730126493607572,192.6,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,2
ft,0.5765396628651589,1254.3,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,2
no_text,0.5184316690718476,9.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,2
text_only,0.3157449527895816,149.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,2
all,0.5886868412823374,153.5,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,2
ft,0.585995991922055,165.2,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,2
no_text,0.525932234291115,24.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,3
text_only,0.2524506892730046,169.3,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,3
all,0.5662440416211652,178.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,3
ft,0.5758755460107693,1071.6,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,3
no_text,0.5237271498215298,9.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,3
text_only,0.2937467927918537,134.3,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,3
all,0.5822556939594161,139.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,3
ft,0.5807073529063274,149.9,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,3
no_text,0.5078831102787837,23.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,4
text_only,0.26780302434439973,162.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,4
all,0.5598289644882919,170.9,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,4
ft,0.5651109833146366,972.7,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2,4
no_text,0.5135061969011541,9.0,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,4
text_only,0.30324034603179295,127.4,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,4
all,0.5843903789206957,132.1,,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,4
ft,0.5839749719834604,142.5,10.0,REG_TEXT_GAMES_MTG_CARD_PRICES,tabpfnv2p5,4
