state,score,secs,epochs,dataset,model,fold
no_text,0.5840176711206982,1.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
text_only,0.4995714833399908,48.6,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
all,0.6189163444205946,46.8,,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
ft,0.6352252920111479,412.3,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,light,0
no_text,0.5916333184316025,4.0,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
text_only,0.5149730130489858,64.4,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
all,0.6283587874919698,61.1,,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
ft,0.635781944241127,81.3,10.0,REG_TEXT_GAMES_BOARDGAMES_BGG,cat,0
no_text,0.3920029605633665,1.0,,REG_TEXT_GAMES_METACRITIC_PC,light,0
text_only,0.1022519970722694,19.1,,REG_TEXT_GAMES_METACRITIC_PC,light,0
all,0.42747449751767563,19.6,,REG_TEXT_GAMES_METACRITIC_PC,light,0
ft,0.4136208067089978,135.2,10.0,REG_TEXT_GAMES_METACRITIC_PC,light,0
no_text,0.41895601081854805,2.5,,REG_TEXT_GAMES_METACRITIC_PC,cat,0
text_only,0.11627715941862116,22.8,,REG_TEXT_GAMES_METACRITIC_PC,cat,0
all,0.4412252611757922,24.5,,REG_TEXT_GAMES_METACRITIC_PC,cat,0
ft,0.43534533639626305,26.1,10.0,REG_TEXT_GAMES_METACRITIC_PC,cat,0
no_text,0.9993974678716346,1.0,,REG_TEXT_RETAIL_KERALA_LIQUOR,light,0
text_only,0.9135014259036921,5.0,,REG_TEXT_RETAIL_KERALA_LIQUOR,light,0
all,0.9992279490388878,5.5,,REG_TEXT_RETAIL_KERALA_LIQUOR,light,0
ft,0.999305534976432,40.5,10.0,REG_TEXT_RETAIL_KERALA_LIQUOR,light,0
no_text,0.9997949551283957,4.5,,REG_TEXT_RETAIL_KERALA_LIQUOR,cat,0
text_only,0.9262943057301798,14.5,,REG_TEXT_RETAIL_KERALA_LIQUOR,cat,0
all,0.9994076058962752,16.0,,REG_TEXT_RETAIL_KERALA_LIQUOR,cat,0
ft,0.9994164646135565,19.2,10.0,REG_TEXT_RETAIL_KERALA_LIQUOR,cat,0
no_text,0.7923373775871763,1.0,,REG_TEXT_SPORT_CHESS_WOMEN,light,0
text_only,0.062142065033411575,7.6,,REG_TEXT_SPORT_CHESS_WOMEN,light,0
all,0.8072440842443127,7.1,,REG_TEXT_SPORT_CHESS_WOMEN,light,0
ft,0.7988893260420723,58.3,10.0,REG_TEXT_SPORT_CHESS_WOMEN,light,0
no_text,0.8048327682950194,2.0,,REG_TEXT_SPORT_CHESS_WOMEN,cat,0
text_only,0.07216508888519879,10.0,,REG_TEXT_SPORT_CHESS_WOMEN,cat,0
all,0.8083867546997102,12.9,,REG_TEXT_SPORT_CHESS_WOMEN,cat,0
ft,0.8041440837110013,15.6,10.0,REG_TEXT_SPORT_CHESS_WOMEN,cat,0
