state,score,secs,epochs,dataset,model,fold
no_text,0.9944143021343851,1.6,,REG_TEXT_MEDIA_MOVIES_ROI,light,0
text_only,-0.05806207638108862,21.2,,REG_TEXT_MEDIA_MOVIES_ROI,light,0
all,0.9943952358247892,17.4,,REG_TEXT_MEDIA_MOVIES_ROI,light,0
ft,0.9943994630763472,107.4,10.0,REG_TEXT_MEDIA_MOVIES_ROI,light,0
no_text,0.9967402689792539,21.6,,REG_TEXT_MEDIA_MOVIES_ROI,cat,0
text_only,-0.0006529793204685941,18.3,,REG_TEXT_MEDIA_MOVIES_ROI,cat,0
all,0.9968606324333362,51.2,,REG_TEXT_MEDIA_MOVIES_ROI,cat,0
ft,0.9966353329057819,57.0,10.0,REG_TEXT_MEDIA_MOVIES_ROI,cat,0
no_text,0.5464583292202587,1.0,,REG_TEXT_MEDIA_HORROR_BUDGET,light,0
text_only,0.283492001249096,7.0,,REG_TEXT_MEDIA_HORROR_BUDGET,light,0
all,0.6388651407319083,7.3,,REG_TEXT_MEDIA_HORROR_BUDGET,light,0
ft,0.6263612881473752,55.3,10.0,REG_TEXT_MEDIA_HORROR_BUDGET,light,0
no_text,0.588961722628714,2.0,,REG_TEXT_MEDIA_HORROR_BUDGET,cat,0
text_only,0.33857977331926403,11.0,,REG_TEXT_MEDIA_HORROR_BUDGET,cat,0
all,0.6437514321205157,24.0,,REG_TEXT_MEDIA_HORROR_BUDGET,cat,0
ft,0.6431473469363727,17.6,10.0,REG_TEXT_MEDIA_HORROR_BUDGET,cat,0
no_text,0.8015875069053524,1.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
text_only,0.43728461706051125,32.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
all,0.8358573750117086,32.0,,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
ft,0.839282757053782,274.3,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,light,0
no_text,0.805257254075737,5.5,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
text_only,0.44682783340362675,54.1,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
all,0.8393713354040226,62.7,,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
ft,0.841155825132567,69.7,10.0,REG_TEXT_MEDIA_ANIME_POPULARITY,cat,0
no_text,0.4878183527634413,2.1,,REG_TEXT_GAMES_VGSALES_USERSCORE,light,0
text_only,-0.0398371517603231,9.6,,REG_TEXT_GAMES_VGSALES_USERSCORE,light,0
all,0.4917246881939169,11.1,,REG_TEXT_GAMES_VGSALES_USERSCORE,light,0
ft,0.4943474185330521,63.5,10.0,REG_TEXT_GAMES_VGSALES_USERSCORE,light,0
no_text,0.5181888097373921,11.0,,REG_TEXT_GAMES_VGSALES_USERSCORE,cat,0
text_only,0.011806265573284791,10.2,,REG_TEXT_GAMES_VGSALES_USERSCORE,cat,0
all,0.5192152747807333,20.6,,REG_TEXT_GAMES_VGSALES_USERSCORE,cat,0
ft,0.520086701379516,25.1,10.0,REG_TEXT_GAMES_VGSALES_USERSCORE,cat,0
